Model,Fan Qty,Fan Amps,Heater Qty,Heater 1,Heater 2,Heater 3
CSB-301-0603-E,1,0.42A,1,4.55A,NA,NA
CSB-301-0604-E,1,0.42A,1,6.82A,NA,NA
CSB-301-0605-E,1,0.42A,1,9.09A,NA,NA
CSB-301-0606-E,1,0.42A,1,9.09A,NA,NA
CSB-302-0603-E,2,0.84A,1,9.09A,NA,NA
CSB-302-0604-E,2,0.84A,1,13.64A,NA,NA
CSB-302-0605-E,2,0.84A,1,18.18A,NA,NA
CSB-302-0606-E,2,0.84A,1,18.18A,NA,NA
CSB-303-0603-E,3,1.26A,1,13.64A,NA,NA
CSB-303-0604-E,3,1.26A,1,20.45A,NA,NA
CSB-303-0605-E,3,1.26A,2,18.18A,9.09A,NA
CSB-303-0606-E,3,1.26A,2,18.18A,9.09A,NA
CSB-304-0603-E,4,1.68A,2,18.18A,NA,NA
CSB-304-0604-E,4,1.68A,2,13.64A,13.64A,NA
CSB-304-0605-E,4,1.68A,2,18.18A,18.18A,NA
CSB-304-0606-E,4,1.68A,2,18.18A,18.18A,NA
CSB-305-0604-E,5,2.1A,2,20.45A,13.64A,NA
CSB-305-0605-E,5,2.1A,3,18.18A,18.18A,9.09A
CSB-305-0606-E,5,2.1A,3,18.18A,18.18A,9.09A
CSB-301-0404-E,1,0.42A,1,6.82A,NA,NA
CSB-301-0405-E,1,0.42A,1,9.09A,NA,NA
CSB-301-0406-E,1,0.42A,1,9.09A,NA,NA
CSB-302-0404-E,2,0.84A,1,13.64A,NA,NA
CSB-302-0405-E,2,0.84A,1,18.18A,NA,NA
CSB-302-0406-E,2,0.84A,1,18.18A,NA,NA
CSB-303-0404-E,3,1.26A,1,20.45A,NA,NA
CSB-303-0405-E,3,1.26A,2,18.18A,9.09A,NA
CSB-303-0406-E,3,1.26A,2,18.18A,9.09A,NA
CSB-304-0404-E,4,1.68A,2,13.64A,13.64A,NA
CSB-304-0405-E,4,1.68A,2,18.18A,18.18A,NA
CSB-305-0404-E,5,2.1A,2,20.45A,13.64A,NA
CSB-305-0405-E,5,2.1A,3,18.18A,18.18A,9.09A
CSB-305-0406-E,5,2.1A,3,18.18A,18.18A,9.09A
CSB-351-0603-E,1,0.7A,1,9.09A,NA,NA
CSB-351-0604-E,1,0.7A,1,13.64A,NA,NA
CSB-351-0606-E,1,0.7A,1,18.18A,NA,NA
CSB-352-0603-E,2,1.4A,1,18.18A,NA,NA
CSB-352-0604-E,2,1.4A,2,13.64A,13.64A,NA
CSB-352-0606-E,2,1.4A,2,18.18A,18.18A,NA
CSB-353-0603-E,3,2.1A,2,13.64A,13.64A,NA
CSB-353-0604-E,3,2.1A,2,20.45A,20.45A,NA
CSB-353-0606-E,3,2.1A,2,18.18A,18.18A,18.18A
CSB-354-0603-E,4,2.8A,2,18.18A,18.18A,NA
CSB-354-0604-E,4,2.8A,3,20.45A,20.45A,13.64A
CSB-351-0403-E,1,0.7A,1,9.09A,NA,NA
CSB-351-0404-E,1,0.7A,1,13.64A,NA,NA
CSB-351-0406-E,1,0.7A,1,18.18A,NA,NA
CSB-352-0403-E,2,1.4A,1,18.18A,NA,NA
CSB-352-0404-E,2,1.4A,2,13.64A,13.64A,NA
CSB-352-0406-E,2,1.4A,2,18.18A,18.18A,NA
CSB-353-0403-E,3,2.1A,2,13.64A,13.64A,NA
CSB-353-0404-E,3,2.1A,2,20.45A,20.45A,NA
CSB-353-0406-E,3,2.1A,3,18.18A,18.18A,18.18A
CSB-354-0403-E,4,2.8A,2,18.18A,18.18A,NA
CSB-354-0404-E,4,2.8A,3,20.45A,20.45A,13.64A
,,,,,,
,,,,,,
