Model,Fan Qty,Fan Amps,Heater Qty,Heater 1,Heater 2,Heater 3
301-1BNX0,1,0.32A,1,3.2A,NA,NA
301-1CNX0,1,0.32A,1,3.2A,NA,NA
301-1DNX0,1,0.32A,1,3.2A,NA,NA
301-1ENX0,1,0.32A,1,3.2A,NA,NA
302-1BNX0,2,0.64A,1,5.8A,NA,NA
302-1CNX0,2,0.64A,1,5.8A,NA,NA
302-1DNX0,2,0.64A,1,5.8A,NA,NA
302-1ENX0,2,0.64A,1,11.6A,NA,NA
303-1CNX0,3,0.96A,1,8.4A,NA,NA
303-1DNX0,3,0.96A,1,8.4A,NA,NA
303-1ENX0,3,0.96A,1,16.9A,NA,NA
304-1CNX0,4,1.28A,1,11.6A,NA,NA
304-1DNX0,4,1.28A,1,11.6A,NA,NA
304-1ENX0,4,1.28A,1,23.3A,NA,NA
305-1CNX0,5,1.6A,1,14.2A,NA,NA
305-1DNX0,5,1.6A,1,14.2A,NA,NA
305-1ENX0,5,1.6A,1,28.5A,NA,NA
301-1BWX0,1,0.32A,1,3.2A,NA,NA
301-1CWX0,1,0.32A,1,3.2A,NA,NA
301-1DWX0,1,0.32A,1,6.4A,NA,NA
301-1EWX0,1,0.32A,1,6.4A,NA,NA
302-1BWX0,2,0.64A,1,5.8A,NA,NA
302-1CWX0,2,0.64A,1,5.8A,NA,NA
302-1DWX0,2,0.64A,1,11.6A,NA,NA
302-1EWX0,2,0.64A,1,11.6A,NA,NA
303-1CWX0,3,0.96A,1,8.4A,NA,NA
303-1DWX0,3,0.96A,1,16.9A,NA,NA
303-1EWX0,3,0.96A,1,16.9A,NA,NA
304-1CWX0,4,1.28A,1,11.6A,NA,NA
304-1DWX0,4,1.28A,1,23.3A,NA,NA
304-1EWX0,4,1.28A,1,23.3A,NA,NA
305-1CWX0,5,1.6A,1,14.2A,NA,NA
305-1DWX0,5,1.6A,1,28.5A,NA,NA
305-1EWX0,5,1.6A,1,28.5A,NA,NA
351-1DNX0,1,0.58A,1,11.4A,NA,NA
351-1FNX0,1,0.58A,1,11.4A,NA,NA
352-1DNX0,2,1.16A,1,22.9A,NA,NA
352-1FNX0,2,1.16A,1,22.9A,NA,NA
353-1DNX0,3,1.74A,2,17.2A,17.2A,NA
353-1FNX0,3,1.74A,2,17.2A,17.2A,NA
354-1DNX0,4,2.32A,2,22.9A,22.9A,NA
354-1FNX0,4,2.32A,2,22.9A,22.9A,NA
351-1DWX0,1,0.58A,1,11.4A,NA,NA
351-1FWX0,1,0.58A,1,11.4A,NA,NA
352-1DWX0,2,1.16A,1,22.9A,NA,NA
352-1FWX0,2,1.16A,1,22.9A,NA,NA
353-1DWX0,3,1.74A,2,17.2A,17.2A,NA
353-1FWX0,3,1.74A,2,17.2A,17.2A,NA
354-1DWX0,4,3ph 5.64A,2,22.9A,22.9A,NA
354-1FWX0,4,3ph 5.64A,2,22.9A,22.9A,NA
501-3DNX0,1,3ph 1.41A,1,18.8A,NA,NA
501-3FNX0,1,3ph 1.41A,1,18.8A,NA,NA
502-3DNX0,2,3ph 2.82A,2,18.8A,18.8A,NA
502-3FNX0,2,3ph 2.82A,2,18.8A,18.8A,NA
503-3DNX0,3,3ph 4.23A,3,18.8A,18.8A,18.8A
503-3FNX0,3,3ph 4.23A,3,18.8A,18.8A,18.8A
501-3DWX0,1,3ph 1.41A,1,18.8A,NA,NA
501-3FWX0,1,3ph 1.41A,1,18.8A,NA,NA
502-3DWX0,2,3ph 2.82A,2,18.8A,18.8A,NA
502-3FWX0,2,3ph 2.82A,2,18.8A,18.8A,NA
503-3DWX0,3,3ph 4.23A,3,18.8A,18.8A,18.8A
503-3FWX0,3,3ph 4.23A,3,18.8A,18.8A,18.8A
501-SDNX0,1,3ph 1.41A,1,18.8A,NA,NA
501-SFNX0,1,3ph 1.41A,1,18.8A,NA,NA
502-SDNX0,2,3ph 2.82A,2,18.8A,18.8A,NA
502-SFNX0,2,3ph 2.82A,2,18.8A,18.8A,NA
503-SDNX0,3,3ph 4.23A,3,18.8A,18.8A,18.8A
503-SFNX0,3,3ph 4.23A,3,18.8A,18.8A,18.8A
501-SDWX0,1,3ph 1.41A,1,18.8A,NA,NA
501-SFWX0,1,3ph 1.41A,1,18.8A,NA,NA
502-SDWX0,2,3ph 2.82A,2,18.8A,18.8A,NA
502-SFWX0,2,3ph 2.82A,2,18.8A,18.8A,NA
503-SDWX0,3,3ph 4.23A,3,18.8A,18.8A,18.8A
503-SFWX0,3,3ph 4.23A,3,18.8A,18.8A,18.8A
